energy_trace,power_distribution,workflow,c_value,deadline_factor,shift_mode,task_ordering,AVERAGE_of_brown_energy_used,AVERAGE_of_green_energy_used,AVERAGE_of_makespan,AVERAGE_of_workflow_stretch
trace-1,gaussian,blast,0.5,4,right-left,power,0.0000000293,46168876.84314,31406.1,31406.1
trace-1,gaussian,blast,0.5,4,right-left,runtime,0.0000000293,46168876.84314,25312.5,25312.5
trace-1,gaussian,blast,0.5,4,right-left,runtime_ascending,0.0000000293,46168876.84314,43413.3,43413.3
trace-1,gaussian,blast,0.5,8,left,energy,0.0000000271,46168876.84314,66789.5,66789.5
trace-1,gaussian,blast,0.5,8,left,power,0.0000000279,46168876.8431399,57596.1,57596.1
trace-1,gaussian,blast,0.5,8,left,runtime,0.0000000271,46168876.84314,66789.5,66789.5
trace-1,gaussian,blast,0.5,8,left,runtime_ascending,0.0000000293,46168876.8431399,43476.6,43476.6
trace-1,gaussian,blast,0.5,8,none,energy,0.0000000271,46168876.84314,108474,108474
trace-1,gaussian,blast,0.5,8,none,power,0.0000000279,46168876.84314,96828.6,96828.6
trace-1,gaussian,blast,0.5,8,none,runtime,0.0000000271,46168876.84314,108474,108474
trace-1,gaussian,blast,0.5,8,none,runtime_ascending,0.0000000293,46168876.8431399,85916,85916
trace-1,gaussian,blast,0.5,8,right-left,energy,0.0000000271,46168876.84314,66789.5,66789.5
trace-1,gaussian,blast,0.5,8,right-left,power,0.0000000279,46168876.8431399,57596.1,57596.1
trace-1,gaussian,blast,0.5,8,right-left,runtime,0.0000000271,46168876.84314,66789.5,66789.5
trace-1,gaussian,blast,0.5,8,right-left,runtime_ascending,0.0000000293,46168876.84314,43413.3,43413.3
trace-1,gaussian,blast,0.8,2,left,energy,0.0000000187,46168876.8431399,23624,23624
trace-1,gaussian,blast,0.8,2,left,power,0.0000000293,46168876.84314,25007.5,25007.5
trace-1,gaussian,blast,0.8,2,left,runtime,0.0000000187,46168876.8431399,23624,23624
trace-1,gaussian,blast,0.8,2,left,runtime_ascending,0.0000000293,46168876.8431399,25404,25404
trace-1,gaussian,blast,0.8,2,none,energy,0.0000000208,46168876.8431399,27284,27284
trace-1,gaussian,blast,0.8,2,none,power,0.0000000293,46168876.8431399,32733,32733
trace-1,gaussian,blast,0.8,2,none,runtime,0.0000000208,46168876.8431399,27284,27284
trace-1,gaussian,blast,0.8,2,none,runtime_ascending,0.0000000293,46168876.8431399,36404,36404
trace-1,gaussian,blast,0.8,2,right-left,energy,0.0000000187,46168876.84314,25773.3,25773.3
trace-1,gaussian,blast,0.8,2,right-left,power,0.0000000293,46168876.84314,25312.5,25312.5
trace-1,gaussian,blast,0.8,2,right-left,runtime,0.0000000187,46168876.84314,25773.3,25773.3
trace-1,gaussian,blast,0.8,2,right-left,runtime_ascending,0.0000000293,46168876.84314,25312.5,25312.5
trace-1,gaussian,blast,0.8,4,left,energy,0.0000000293,46168876.84314,22709,22709
trace-1,gaussian,blast,0.8,4,left,power,0.0000000293,46168876.84314,30931.1,30931.1
trace-1,gaussian,blast,0.8,4,left,runtime,0.0000000293,46168876.84314,22709,22709
trace-1,gaussian,blast,0.8,4,left,runtime_ascending,0.0000000293,46168876.8431399,43476.6,43476.6
trace-1,gaussian,blast,0.8,4,none,energy,9262722.71830301,36906154.1248368,85916,85916
trace-1,gaussian,blast,0.8,4,none,power,9250097.42794935,36918779.4151905,85893,85893
trace-1,gaussian,blast,0.8,4,none,runtime,9262722.71830301,36906154.1248368,85916,85916
trace-1,gaussian,blast,0.8,4,none,runtime_ascending,0.0000000293,46168876.8431399,85916,85916
trace-1,gaussian,blast,0.8,4,right-left,energy,0.0000000293,46168876.84314,25312.5,25312.5
trace-1,gaussian,blast,0.8,4,right-left,power,0.0000000293,46168876.84314,31406.1,31406.1
trace-1,gaussian,blast,0.8,4,right-left,runtime,0.0000000293,46168876.84314,25312.5,25312.5
trace-1,gaussian,blast,0.8,4,right-left,runtime_ascending,0.0000000293,46168876.84314,43413.3,43413.3
trace-1,gaussian,blast,0.8,8,left,energy,0.0000000271,46168876.84314,66789.5,66789.5
trace-1,gaussian,blast,0.8,8,left,power,0.0000000291,46168876.84314,43947.7,43947.7
trace-1,gaussian,blast,0.8,8,left,runtime,0.0000000271,46168876.84314,66789.5,66789.5
trace-1,gaussian,blast,0.8,8,left,runtime_ascending,0.0000000293,46168876.8431399,53148.6,53148.6
trace-1,gaussian,blast,0.8,8,none,energy,0.0000000271,46168876.84314,108474,108474
trace-1,gaussian,blast,0.8,8,none,power,374535.724125755,45794341.1190142,114495.8,114495.8
trace-1,gaussian,blast,0.8,8,none,runtime,0.0000000271,46168876.84314,108474,108474
trace-1,gaussian,blast,0.8,8,none,runtime_ascending,0.0000000293,46168876.8431399,118156,118156
trace-1,gaussian,blast,0.8,8,right-left,energy,0.0000000271,46168876.84314,66789.5,66789.5
trace-1,gaussian,blast,0.8,8,right-left,power,0.0000000291,46168876.84314,43947.7,43947.7
trace-1,gaussian,blast,0.8,8,right-left,runtime,0.0000000271,46168876.84314,66789.5,66789.5
trace-1,gaussian,blast,0.8,8,right-left,runtime_ascending,0.0000000293,46168876.84314,53085.3,53085.3
trace-1,gaussian,bwa,0,2,left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,2,left,power,0.0000000293,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,2,left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,2,left,runtime_ascending,0.0000000294,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,2,none,energy,0.0000000323,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,2,none,power,0.0000000293,2186911.84686834,22663,22663
trace-1,gaussian,bwa,0,2,none,runtime,0.0000000323,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,2,none,runtime_ascending,0.0000000785,2186911.84686838,22663,22663
trace-1,gaussian,bwa,0,2,right-left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,2,right-left,power,0.0000000293,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,2,right-left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,2,right-left,runtime_ascending,0.0000000294,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,4,left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,4,left,power,0.0000000293,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,4,left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,4,left,runtime_ascending,0.0000000294,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,4,none,energy,0.0000000323,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,4,none,power,0.0000000293,2186911.84686834,22663,22663
trace-1,gaussian,bwa,0,4,none,runtime,0.0000000323,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,4,none,runtime_ascending,0.0000000785,2186911.84686838,22663,22663
trace-1,gaussian,bwa,0,4,right-left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,4,right-left,power,0.0000000293,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,4,right-left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,4,right-left,runtime_ascending,0.0000000294,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,8,left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,8,left,power,0.0000000293,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,8,left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,8,left,runtime_ascending,0.0000000294,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,8,none,energy,0.0000000323,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,8,none,power,0.0000000293,2186911.84686834,22663,22663
trace-1,gaussian,bwa,0,8,none,runtime,0.0000000323,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,8,none,runtime_ascending,0.0000000785,2186911.84686838,22663,22663
trace-1,gaussian,bwa,0,8,right-left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,8,right-left,power,0.0000000293,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,8,right-left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0,8,right-left,runtime_ascending,0.0000000294,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,2,left,energy,0.0000000322,2186911.84686843,22663,22663
