energy_trace,power_distribution,workflow,c_value,deadline_factor,shift_mode,task_ordering,AVERAGE_of_brown_energy_used,STD_of_brown_energy_used,AVERAGE_of_green_energy_used,STD_of_green_energy_used,AVERAGE_of_makespan,STD_of_makespan,AVERAGE_of_workflow_stretch,STD_of_workflow_stretch
trace-1,uniform,blast,0.500000,2,left,energy,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.500000,2,left,power,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.500000,2,left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.500000,2,left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,25405.700000,545.781814,25404.700000,545.781814
trace-1,uniform,blast,0.500000,2,none,energy,0.000000,0.000000,47492026.349849,18527440.345753,33965.100000,13.884044,32549.200000,13.323330
trace-1,uniform,blast,0.500000,2,none,power,0.000000,0.000000,47492026.349849,18527440.345753,31915.000000,2578.105851,30382.300000,2922.728598
trace-1,uniform,blast,0.500000,2,none,runtime,0.000000,0.000000,47492026.349849,18527440.345753,33965.100000,13.884044,32549.200000,13.323330
trace-1,uniform,blast,0.500000,2,none,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,31195.600000,21.700998,31194.600000,21.700998
trace-1,uniform,blast,0.500000,2,right-left,energy,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.500000,2,right-left,power,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.500000,2,right-left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.500000,2,right-left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,25909.800000,1911.908575,25908.800000,1911.908575
trace-1,uniform,blast,0.500000,4,left,energy,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.500000,4,left,power,0.000000,0.000000,47492026.349849,18527440.345753,31504.400000,19112.333500,30652.900000,16423.740144
trace-1,uniform,blast,0.500000,4,left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.500000,4,left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,37516.700000,25504.411632,37515.700000,25504.411632
trace-1,uniform,blast,0.500000,4,none,energy,5849.733568,2065.601635,47486176.616281,18526272.502206,85894.700000,22.276295,83062.500000,22.940745
trace-1,uniform,blast,0.500000,4,none,power,2748.277738,3619.116090,47489278.072111,18524504.657736,80415.700000,17312.697852,75987.100000,18878.565656
trace-1,uniform,blast,0.500000,4,none,runtime,5849.733568,2065.601635,47486176.616281,18526272.502206,85894.700000,22.276295,83062.500000,22.940745
trace-1,uniform,blast,0.500000,4,none,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,85894.700000,22.276295,85893.700000,22.276295
trace-1,uniform,blast,0.500000,4,right-left,energy,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.500000,4,right-left,power,0.000000,0.000000,47492026.349849,18527440.345753,31504.400000,19112.333500,30652.900000,16423.740144
trace-1,uniform,blast,0.500000,4,right-left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.500000,4,right-left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,43505.400000,29253.914094,43504.400000,29253.914094
trace-1,uniform,blast,0.500000,8,left,energy,0.000000,0.000000,47492026.349849,18527440.345753,83505.100000,40147.922975,75996.600000,34967.402440
trace-1,uniform,blast,0.500000,8,left,power,0.000000,0.000000,47492026.349849,18527440.345753,58549.100000,43340.495748,53346.800000,37162.313087
trace-1,uniform,blast,0.500000,8,left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,83505.100000,40147.922975,75996.600000,34967.402440
trace-1,uniform,blast,0.500000,8,left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,37516.700000,25504.411632,37515.700000,25504.411632
trace-1,uniform,blast,0.500000,8,none,energy,0.000000,0.000000,47492026.349849,18527440.345753,108445.700000,17.448655,97719.700000,17.448655
trace-1,uniform,blast,0.500000,8,none,power,0.000000,0.000000,47492026.349849,18527440.345753,93353.800000,22105.833045,83501.700000,24169.743593
trace-1,uniform,blast,0.500000,8,none,runtime,0.000000,0.000000,47492026.349849,18527440.345753,108445.700000,17.448655,97719.700000,17.448655
trace-1,uniform,blast,0.500000,8,none,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,85894.700000,22.276295,85893.700000,22.276295
trace-1,uniform,blast,0.500000,8,right-left,energy,0.000000,0.000000,47492026.349849,18527440.345753,83505.100000,40147.922975,75996.600000,34967.402440
trace-1,uniform,blast,0.500000,8,right-left,power,0.000000,0.000000,47492026.349849,18527440.345753,58549.100000,43340.495748,53346.800000,37162.313087
trace-1,uniform,blast,0.500000,8,right-left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,83505.100000,40147.922975,75996.600000,34967.402440
trace-1,uniform,blast,0.500000,8,right-left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,43505.400000,29253.914094,43504.400000,29253.914094
trace-1,uniform,blast,0.800000,2,left,energy,0.000000,0.000000,47492026.349849,18527440.345753,23570.200000,1911.844647,23569.200000,1911.844647
trace-1,uniform,blast,0.800000,2,left,power,0.000000,0.000000,47492026.349849,18527440.345753,25143.400000,1012.146586,25142.400000,1012.146586
trace-1,uniform,blast,0.800000,2,left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,23570.200000,1911.844647,23569.200000,1911.844647
trace-1,uniform,blast,0.800000,2,left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,25405.700000,545.781814,25404.700000,545.781814
trace-1,uniform,blast,0.800000,2,none,energy,0.000000,0.000000,47492026.349849,18527440.345753,27211.300000,26.899195,27210.300000,26.899195
trace-1,uniform,blast,0.800000,2,none,power,0.000000,0.000000,47492026.349849,18527440.345753,31937.800000,5028.839689,30755.700000,5001.106034
trace-1,uniform,blast,0.800000,2,none,runtime,0.000000,0.000000,47492026.349849,18527440.345753,27211.300000,26.899195,27210.300000,26.899195
trace-1,uniform,blast,0.800000,2,none,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,36315.800000,28.354110,36314.800000,28.354110
trace-1,uniform,blast,0.800000,2,right-left,energy,0.000000,0.000000,47492026.349849,18527440.345753,25764.300000,872.370595,25763.300000,872.370595
trace-1,uniform,blast,0.800000,2,right-left,power,0.000000,0.000000,47492026.349849,18527440.345753,25509.400000,761.555309,25508.400000,761.555309
